timestamp,production_load_t,equipment_utilization_pct,ambient_temp_c,equipment_run_frac,furnace_kwh,compressor_kwh,ventilation_kwh,auxiliary_kwh,energy_kwh
2024-01-03 00:00:00,116.37,100.0,12.94,1.0,708.68,277.44,44.86,57.66,1088.63
2024-01-03 01:00:00,105.94,96.81,12.6,0.895,637.71,266.65,36.34,50.52,991.21
2024-01-03 02:00:00,108.8,95.12,18.1,0.944,655.94,261.07,33.43,58.73,1009.16
2024-01-03 03:00:00,98.46,90.88,14.22,0.868,617.75,244.93,38.71,57.44,958.84
2024-01-03 04:00:00,89.79,85.32,14.73,0.904,555.34,237.92,35.17,53.46,881.9
2024-01-03 05:00:00,89.46,88.16,13.34,0.854,573.78,242.96,41.62,60.95,919.3
2024-01-03 06:00:00,89.12,86.13,16.44,0.878,569.22,242.85,42.7,50.37,905.14
2024-01-03 07:00:00,90.73,85.7,13.84,0.822,579.61,231.48,43.72,61.9,916.71
2024-01-03 08:00:00,89.14,83.23,14.28,0.912,561.96,231.56,38.75,59.83,892.11
2024-01-03 09:00:00,98.76,89.79,15.46,0.813,617.89,250.98,45.52,57.18,971.58
2024-01-03 10:00:00,108.83,96.84,13.42,0.992,654.75,259.14,36.29,54.27,1004.45
2024-01-03 11:00:00,116.89,99.78,14.75,0.934,701.15,264.05,40.54,52.68,1058.42
2024-01-03 12:00:00,113.08,98.45,17.12,0.959,685.71,261.99,39.45,64.41,1051.55
2024-01-03 13:00:00,112.25,100.0,15.66,1.0,674.05,268.37,47.89,58.5,1048.81
2024-01-03 14:00:00,103.07,92.86,15.21,0.941,637.12,240.73,44.83,51.61,974.28
2024-01-03 15:00:00,95.22,84.36,15.34,0.855,586.92,232.68,40.13,59.94,919.68
2024-01-03 16:00:00,95.75,92.29,14.43,0.931,600.9,259.53,40.79,58.63,959.86
2024-01-03 17:00:00,92.43,79.39,18.01,0.762,596.11,228.65,46.14,67.06,937.97
2024-01-03 18:00:00,84.71,76.95,13.8,0.761,533.51,224.11,36.99,57.94,852.55
2024-01-03 19:00:00,91.02,87.19,15.33,0.873,574.94,232.14,31.87,64.9,903.84
2024-01-03 20:00:00,93.95,89.56,15.19,0.905,576.79,245.58,36.13,58.91,917.41
2024-01-03 21:00:00,97.42,82.48,16.53,0.822,600.43,232.52,38.34,54.09,925.39
2024-01-03 22:00:00,108.95,92.56,16.67,0.962,670.34,257.16,45.44,62.36,1035.3
2024-01-03 23:00:00,119.14,96.54,14.97,0.97,712.27,269.4,44.14,66.09,1091.9
2024-01-04 00:00:00,114.86,94.99,15.46,0.96,700.22,265.22,39.82,64.53,1069.8
2024-01-04 01:00:00,119.25,100.0,15.52,0.981,719.09,266.49,41.87,61.57,1089.02
2024-01-04 02:00:00,97.02,92.04,11.62,0.868,604.59,249.92,37.16,64.99,956.66
2024-01-04 03:00:00,103.29,91.55,12.64,0.923,628.2,260.72,48.35,60.85,998.13
2024-01-04 04:00:00,92.85,83.69,14.12,0.897,589.72,233.6,44.85,60.41,928.58
2024-01-04 05:00:00,85.81,76.16,14.18,0.784,551.5,213.44,40.21,52.64,857.79
2024-01-04 06:00:00,85.37,89.78,13.22,0.857,534.61,247.3,39.71,61.06,882.68
2024-01-04 07:00:00,79.06,82.49,16.15,0.866,507.58,241.33,42.81,67.54,859.25
2024-01-04 08:00:00,91.62,82.28,15.03,0.806,555.95,227.35,39.77,51.82,874.9
2024-01-04 09:00:00,101.43,94.31,14.7,0.979,616.22,255.48,32.71,53.44,957.85
2024-01-04 10:00:00,113.41,96.35,13.14,0.945,684.55,257.16,46.13,58.36,1046.21
2024-01-04 11:00:00,110.92,94.02,14.96,0.958,666.14,263.19,44.67,53.22,1027.22
2024-01-04 12:00:00,111.77,98.06,11.08,0.955,672.18,267.65,41.49,63.42,1044.74
2024-01-04 13:00:00,110.98,91.78,14.78,0.893,686.04,258.3,38.32,51.36,1034.03
2024-01-04 14:00:00,111.16,93.86,15.12,0.86,684.04,266.5,40.04,63.4,1053.98
2024-01-04 15:00:00,101.32,91.26,15.39,0.938,621.02,242.58,29.42,65.02,958.05
2024-01-04 16:00:00,90.38,82.69,12.68,0.845,578.25,229.1,35.57,63.28,906.21
2024-01-04 17:00:00,89.06,87.88,15.36,0.9,575.03,241.94,47.07,60.1,924.14
2024-01-04 18:00:00,85.39,92.04,13.46,0.934,551.89,253.7,42.07,62.67,910.33
2024-01-04 19:00:00,90.88,81.67,13.8,0.779,576.81,234.54,32.21,54.22,897.78
2024-01-04 20:00:00,89.69,76.52,16.1,0.813,577.25,217.74,36.69,61.3,892.98
2024-01-04 21:00:00,98.69,79.34,18.04,0.843,619.6,222.45,32.3,56.91,931.26
2024-01-04 22:00:00,105.93,92.21,15.1,0.883,639.95,259.39,36.88,64.45,1000.67
2024-01-04 23:00:00,107.14,90.25,13.8,0.929,654.17,252.81,39.34,63.55,1009.87
2024-01-05 00:00:00,116.18,99.13,15.32,1.0,696.51,270.07,46.41,55.95,1068.93
2024-01-05 01:00:00,114.03,97.68,16.45,0.953,699.39,252.25,43.14,61.76,1056.55
2024-01-05 02:00:00,107.52,85.74,15.97,0.843,652.96,247.3,38.79,61.97,1001.02
2024-01-05 03:00:00,99.06,80.46,19.15,0.831,609.29,230.06,38.99,57.63,935.97
2024-01-05 04:00:00,86.84,84.9,13.96,0.773,562.41,237.32,36.8,60.11,896.63
2024-01-05 05:00:00,85.33,83.34,15.42,0.779,548.71,230.1,44.36,62.56,885.73
2024-01-05 06:00:00,83.63,79.69,17.36,0.747,555.04,223.54,44.84,57.72,3083.99
2024-01-05 07:00:00,83.8,73.61,17.27,0.646,532.1,209.25,34.65,55.57,831.57
2024-01-05 08:00:00,91.85,88.28,12.11,0.937,575.12,233.41,33.12,61.14,902.79
2024-01-05 09:00:00,101.62,97.17,15.03,0.872,637.06,259.15,38.73,67.42,1002.35
2024-01-05 10:00:00,115.04,98.91,17.26,1.0,684.99,258.12,39.22,59.24,1041.57
2024-01-05 11:00:00,113.69,92.61,19.37,0.967,699.0,254.11,41.03,58.24,1052.39
2024-01-05 12:00:00,116.03,98.24,16.09,0.968,690.49,259.39,33.3,56.04,1039.22
2024-01-05 13:00:00,112.69,89.52,14.49,0.862,688.34,252.36,37.14,65.75,1043.6
2024-01-05 14:00:00,99.82,95.2,13.52,0.964,604.38,249.94,39.67,64.38,958.37
2024-01-05 15:00:00,99.89,90.36,18.37,0.904,619.83,256.92,36.88,59.27,972.9
2024-01-05 16:00:00,92.74,77.53,16.13,0.825,572.75,227.83,43.43,56.06,900.07
2024-01-05 17:00:00,96.86,86.93,13.76,0.738,619.72,236.15,47.47,56.02,959.37
2024-01-05 18:00:00,84.23,84.43,14.73,0.798,532.58,236.74,37.85,55.72,862.89
2024-01-05 19:00:00,88.22,82.44,15.5,0.853,554.45,228.0,43.56,57.53,883.54
2024-01-05 20:00:00,92.36,84.8,15.85,0.851,586.09,241.55,38.57,57.2,
2024-01-05 21:00:00,95.33,81.54,13.69,0.853,591.82,242.03,36.28,56.31,926.44
2024-01-05 22:00:00,112.07,98.87,14.12,1.0,685.96,274.71,37.15,65.58,1063.39
2024-01-05 23:00:00,116.0,94.76,12.56,0.941,694.3,254.86,43.07,67.93,1060.17
2024-01-06 00:00:00,89.41,73.92,16.61,0.724,560.77,215.93,37.43,54.55,868.68
2024-01-06 01:00:00,81.11,78.7,14.54,0.903,525.31,234.4,38.22,57.14,855.06
2024-01-06 02:00:00,86.24,88.02,15.75,0.957,541.45,248.0,35.42,55.26,880.13
2024-01-06 03:00:00,69.39,72.76,17.19,0.752,470.13,218.86,42.54,61.59,793.12
2024-01-06 04:00:00,71.72,84.55,15.38,0.849,485.63,241.46,41.83,58.3,827.23
2024-01-06 05:00:00,74.02,79.15,14.88,0.818,494.52,226.68,45.82,54.85,821.87
2024-01-06 06:00:00,59.79,71.59,15.34,0.757,424.09,209.92,42.39,68.26,744.65
2024-01-06 07:00:00,62.99,70.85,15.15,0.729,419.56,201.53,41.65,62.44,725.18
2024-01-06 08:00:00,69.77,74.55,16.92,0.708,465.17,211.95,42.33,55.1,774.56
2024-01-06 09:00:00,72.99,75.18,15.52,0.841,483.11,212.46,38.98,67.53,
2024-01-06 10:00:00,74.42,75.7,14.24,0.769,503.75,216.86,40.44,54.27,815.32
2024-01-06 11:00:00,85.02,85.16,16.63,0.952,540.43,239.44,43.72,63.07,886.67
2024-01-06 12:00:00,82.0,76.32,16.9,0.773,511.59,219.63,36.72,72.09,840.03
2024-01-06 13:00:00,86.64,77.94,13.05,0.767,545.15,224.97,46.81,59.34,876.27
2024-01-06 14:00:00,76.95,72.86,17.35,0.798,499.45,216.99,42.55,58.56,817.54
2024-01-06 15:00:00,81.2,90.83,15.6,0.923,508.75,248.25,48.08,60.84,865.92
2024-01-06 16:00:00,66.24,75.77,15.48,0.764,458.96,223.55,35.3,71.13,788.94
2024-01-06 17:00:00,63.97,73.51,16.56,0.675,427.29,221.19,35.3,67.38,751.16
2024-01-06 18:00:00,67.0,68.21,14.2,0.715,458.59,205.74,41.49,57.78,763.6
2024-01-06 19:00:00,60.33,73.28,16.48,0.708,412.93,210.63,40.49,61.52,725.57
2024-01-06 20:00:00,70.28,74.56,14.49,0.723,483.48,222.26,38.17,64.61,808.52
2024-01-06 21:00:00,80.23,81.19,12.84,0.787,518.93,233.38,34.92,57.86,845.1
2024-01-06 22:00:00,74.2,72.21,13.56,0.744,487.14,215.36,38.93,54.34,795.78
2024-01-06 23:00:00,85.48,83.54,15.9,0.759,551.63,244.65,40.87,65.42,902.57
2024-01-07 00:00:00,87.29,81.53,13.65,0.805,548.39,235.46,34.77,62.55,881.16
2024-01-07 01:00:00,87.87,80.11,17.49,0.85,563.95,237.67,38.36,61.59,901.58
2024-01-07 02:00:00,75.68,81.51,16.86,0.753,494.53,230.28,41.53,65.53,831.87
2024-01-07 03:00:00,69.72,67.17,17.07,0.68,463.83,198.47,43.15,54.27,759.73
2024-01-07 04:00:00,71.46,78.56,15.26,0.754,476.61,231.86,38.86,58.84,806.17
2024-01-07 05:00:00,66.45,76.65,15.46,0.746,443.51,215.04,36.8,73.19,768.54
2024-01-07 06:00:00,64.75,67.98,13.28,0.763,442.23,214.08,40.46,62.84,759.62
2024-01-07 07:00:00,66.64,69.22,16.57,0.61,455.93,213.17,39.17,63.14,771.42
2024-01-07 08:00:00,66.65,72.21,15.64,0.76,434.8,212.17,34.14,60.53,741.65
2024-01-07 09:00:00,75.93,79.37,15.92,0.77,508.38,233.89,38.2,50.79,831.26
2024-01-07 10:00:00,81.8,80.13,17.6,0.775,535.51,232.26,37.64,55.91,861.32
2024-01-07 11:00:00,81.89,83.11,14.16,0.776,514.59,226.79,40.09,64.57,846.04
2024-01-07 12:00:00,93.71,95.67,14.88,0.994,572.48,256.01,37.07,57.29,922.85
2024-01-07 13:00:00,86.64,80.78,15.56,0.798,559.93,231.35,37.81,59.15,888.24
2024-01-07 14:00:00,75.86,69.35,13.67,0.678,505.42,206.6,39.27,61.46,812.74
2024-01-07 15:00:00,77.63,82.94,14.79,0.835,513.12,242.03,42.55,55.12,852.81
2024-01-07 16:00:00,65.48,81.15,15.81,0.803,435.97,232.24,40.37,53.59,762.16
2024-01-07 17:00:00,68.41,76.17,14.58,0.662,476.66,212.34,50.66,59.94,799.59
2024-01-07 18:00:00,68.38,68.75,17.04,0.663,455.88,201.11,34.94,58.15,750.08
2024-01-07 19:00:00,61.97,70.37,12.81,0.748,431.79,212.23,43.65,61.14,748.8
2024-01-07 20:00:00,73.23,71.02,16.76,0.635,488.16,198.21,39.69,52.84,778.9
2024-01-07 21:00:00,76.65,81.54,16.06,0.761,516.0,222.77,34.42,57.33,830.51
2024-01-07 22:00:00,83.91,75.2,14.22,0.731,540.57,215.68,38.49,63.44,858.18
2024-01-07 23:00:00,92.33,84.66,13.69,0.81,584.98,243.36,33.95,74.73,937.01
2024-01-08 00:00:00,114.02,91.99,11.97,0.918,689.48,251.87,40.33,60.6,1042.28
2024-01-08 01:00:00,109.98,95.62,13.9,0.902,660.3,263.57,38.78,63.35,1026.01
2024-01-08 02:00:00,103.94,90.14,16.67,0.882,621.16,249.32,37.26,62.44,970.18
2024-01-08 03:00:00,96.74,89.25,15.01,0.89,603.94,246.58,35.76,61.47,947.76
2024-01-08 04:00:00,92.19,86.21,16.84,0.895,569.66,237.11,44.07,63.41,914.25
2024-01-08 05:00:00,88.37,79.25,14.16,0.855,564.67,231.47,39.36,55.21,890.71
2024-01-08 06:00:00,86.11,86.19,16.16,0.849,551.72,233.47,40.84,58.21,884.24
2024-01-08 07:00:00,90.32,84.92,14.02,0.944,572.59,236.92,40.71,61.25,911.46
2024-01-08 08:00:00,92.55,81.33,13.65,0.804,574.34,237.68,40.43,55.17,907.61
2024-01-08 09:00:00,105.81,100.0,14.93,1.0,657.36,265.41,38.69,62.17,1023.64
2024-01-08 10:00:00,106.44,95.6,14.1,1.0,656.01,251.43,46.07,50.42,1003.92
2024-01-08 11:00:00,123.87,100.0,12.78,1.0,729.9,257.3,48.95,64.06,1100.21
2024-01-08 12:00:00,117.5,100.0,14.82,0.931,724.06,274.0,45.79,59.25,1103.1
2024-01-08 13:00:00,109.56,100.0,15.25,1.0,666.12,274.4,40.09,63.47,1044.08
2024-01-08 14:00:00,103.22,90.88,17.0,0.878,625.41,248.79,39.81,64.98,978.99
2024-01-08 15:00:00,101.93,92.7,16.5,0.913,623.58,247.05,44.37,67.05,982.05
2024-01-08 16:00:00,91.61,80.86,16.92,0.908,565.96,228.94,36.97,61.34,893.21
2024-01-08 17:00:00,89.87,84.2,16.18,0.781,580.2,243.88,46.84,51.33,922.26
2024-01-08 18:00:00,86.89,82.45,15.59,0.84,563.11,225.53,43.17,51.19,883.0
2024-01-08 19:00:00,86.72,84.28,13.25,0.799,559.51,243.34,38.88,53.68,895.41
2024-01-08 20:00:00,89.11,86.22,15.32,0.847,569.97,230.89,41.13,63.6,905.59
2024-01-08 21:00:00,93.94,89.77,15.99,0.935,599.69,241.69,42.51,52.96,936.85
2024-01-08 22:00:00,105.71,94.05,17.28,0.956,646.63,258.15,38.29,58.83,1001.9
2024-01-08 23:00:00,116.42,92.15,16.12,0.91,705.46,259.21,44.14,57.89,1066.7
2024-01-09 00:00:00,115.86,93.24,16.98,0.9,692.79,264.63,45.09,61.8,1064.31
2024-01-09 01:00:00,108.01,91.27,13.57,0.929,658.81,257.62,38.95,63.58,1018.96
2024-01-09 02:00:00,108.19,92.69,14.63,1.0,664.56,263.95,38.1,60.47,1027.09
2024-01-09 03:00:00,101.54,96.02,15.76,0.915,603.06,262.74,39.58,64.01,969.39
2024-01-09 04:00:00,88.96,78.67,16.86,0.882,559.87,221.47,35.37,54.5,871.21
2024-01-09 05:00:00,87.62,82.03,14.9,0.88,559.44,239.36,33.33,65.1,897.23
2024-01-09 06:00:00,85.23,87.38,15.0,0.942,545.54,251.68,38.27,60.66,896.15
2024-01-09 07:00:00,82.44,79.72,16.15,0.813,528.57,233.0,36.16,63.8,861.52
2024-01-09 08:00:00,93.93,89.27,13.43,0.951,594.37,251.14,47.08,57.41,950.0
2024-01-09 09:00:00,102.24,90.42,17.53,0.854,625.55,258.24,38.18,49.75,971.72
2024-01-09 10:00:00,111.83,97.2,13.8,0.939,669.39,266.17,41.82,63.33,1040.71
2024-01-09 11:00:00,117.21,97.46,12.24,1.0,715.5,264.54,37.49,59.28,1076.81
2024-01-09 12:00:00,109.49,98.08,15.13,0.996,675.79,270.32,47.13,66.01,1059.25
2024-01-09 13:00:00,109.24,86.89,17.67,0.862,661.4,245.34,39.22,62.11,1008.08
2024-01-09 14:00:00,109.56,92.96,16.0,0.805,667.25,260.54,35.03,74.76,1037.57
2024-01-09 15:00:00,102.06,92.51,16.25,0.903,637.04,253.48,42.68,66.35,999.56
2024-01-09 16:00:00,94.56,89.95,15.18,0.841,593.15,254.35,41.04,58.76,947.3
2024-01-09 17:00:00,102.42,98.68,14.89,1.0,636.34,272.36,44.81,52.08,1005.6
2024-01-09 18:00:00,87.28,81.69,12.8,0.807,560.22,232.82,39.38,55.64,888.07
2024-01-09 19:00:00,91.55,93.17,11.73,0.9,575.21,251.16,40.43,55.31,922.11
2024-01-09 20:00:00,96.32,84.86,15.41,0.981,605.71,245.66,33.97,57.39,942.73
2024-01-09 21:00:00,102.61,97.95,17.09,1.0,625.31,258.43,43.34,59.37,986.45
2024-01-09 22:00:00,106.24,97.21,15.64,1.0,654.35,258.39,40.25,61.59,1014.58
2024-01-09 23:00:00,116.03,93.45,16.06,1.0,699.54,257.24,39.5,66.87,1063.16
2024-01-10 00:00:00,111.91,97.49,17.52,1.0,676.66,249.68,39.08,55.65,1021.07
2024-01-10 01:00:00,112.04,95.77,15.64,0.919,670.24,270.37,38.87,53.06,1032.54
2024-01-10 02:00:00,105.56,95.91,14.96,0.915,648.85,261.49,43.4,64.15,1017.89
2024-01-10 03:00:00,100.33,89.05,13.92,0.939,621.95,256.24,36.3,66.66,981.14
2024-01-10 04:00:00,101.76,89.34,18.18,0.79,622.08,258.44,42.97,57.55,981.04
2024-01-10 05:00:00,79.54,86.62,15.94,0.862,504.93,240.96,33.58,65.21,844.68
2024-01-10 06:00:00,87.75,83.38,13.73,0.725,545.57,243.19,32.33,63.85,884.94
2024-01-10 07:00:00,80.56,84.41,13.39,0.849,520.76,230.9,45.64,51.46,848.77
2024-01-10 08:00:00,90.61,84.18,17.03,0.884,575.51,239.38,35.91,56.82,907.62
2024-01-10 09:00:00,104.36,100.0,13.59,1.0,656.58,267.16,40.42,57.62,1021.78
2024-01-10 10:00:00,107.76,90.49,17.93,0.952,658.42,254.2,38.93,69.94,1021.5
2024-01-10 11:00:00,108.68,91.27,11.01,1.0,650.39,256.96,41.38,62.54,1011.27
2024-01-10 12:00:00,112.14,100.0,17.28,0.993,679.04,269.04,40.21,57.48,1045.77
2024-01-10 13:00:00,115.71,95.63,15.88,1.0,708.55,264.09,44.17,56.51,1073.33
2024-01-10 14:00:00,104.58,100.0,15.33,1.0,637.43,275.67,34.28,52.15,999.53
2024-01-10 15:00:00,100.87,94.89,14.88,0.996,633.28,260.4,42.68,65.33,1001.69
2024-01-10 16:00:00,92.68,85.57,17.98,0.825,584.82,254.93,39.79,61.98,941.52
2024-01-10 17:00:00,84.4,73.14,16.21,0.812,547.19,212.76,33.87,63.1,856.92
2024-01-10 18:00:00,93.58,86.69,13.79,0.919,602.75,251.99,37.88,53.57,946.19
2024-01-10 19:00:00,89.55,85.28,12.57,0.926,553.03,245.96,33.58,63.68,896.25
2024-01-10 20:00:00,84.4,88.04,15.41,0.883,549.17,233.72,33.31,58.81,875.0
2024-01-10 21:00:00,100.75,98.32,15.15,0.92,622.97,275.42,38.25,56.36,993.01
2024-01-10 22:00:00,104.85,89.0,12.87,0.913,636.67,253.35,44.75,62.57,997.33
2024-01-10 23:00:00,116.4,100.0,15.06,0.915,701.2,270.68,41.25,54.0,1067.13
2024-01-11 00:00:00,111.83,99.74,14.32,0.981,692.68,271.67,45.2,60.9,1070.44
2024-01-11 01:00:00,112.53,100.0,15.19,1.0,693.34,272.96,40.3,58.67,1065.27
2024-01-11 02:00:00,109.52,97.25,16.27,1.0,651.59,272.48,46.2,65.36,1035.64
2024-01-11 03:00:00,103.46,82.02,17.42,0.836,631.16,229.76,45.79,64.46,971.16
2024-01-11 04:00:00,87.7,83.07,16.54,0.838,566.04,243.97,36.2,60.45,906.66
2024-01-11 05:00:00,85.67,77.06,14.1,0.767,548.18,215.32,40.28,61.4,865.19
2024-01-11 06:00:00,83.1,80.54,15.73,0.738,535.36,218.57,37.11,62.99,854.03
2024-01-11 07:00:00,84.4,87.1,15.27,0.875,529.43,246.47,39.42,59.95,875.28
2024-01-11 08:00:00,99.56,91.31,13.18,0.918,611.85,259.3,46.63,55.91,973.69
2024-01-11 09:00:00,101.62,96.55,15.78,0.917,617.23,261.68,37.43,57.59,973.93
2024-01-11 10:00:00,102.46,92.94,17.96,0.87,619.06,241.58,35.26,53.9,949.79
2024-01-11 11:00:00,116.66,91.84,15.23,0.894,693.25,243.92,35.52,64.63,1037.31
2024-01-11 12:00:00,123.49,89.14,12.79,0.895,730.02,249.81,38.42,61.99,1080.24
2024-01-11 13:00:00,117.12,99.3,15.22,0.97,699.51,268.48,54.98,57.88,1080.86
2024-01-11 14:00:00,101.42,89.64,13.36,0.844,620.38,255.95,45.89,56.38,978.6
2024-01-11 15:00:00,98.06,84.15,16.47,0.856,618.48,237.15,28.51,61.18,945.31
2024-01-11 16:00:00,97.57,80.28,15.97,0.83,600.58,224.15,39.86,52.94,917.52
2024-01-11 17:00:00,84.18,78.42,14.92,0.79,552.3,226.53,37.48,54.66,870.97
2024-01-11 18:00:00,86.78,82.42,14.68,0.796,550.0,239.17,43.95,59.9,893.02
2024-01-11 19:00:00,90.11,88.38,14.86,0.914,574.05,253.71,35.28,72.21,935.26
2024-01-11 20:00:00,88.79,85.34,15.19,0.844,567.73,238.55,35.85,62.26,904.39
2024-01-11 21:00:00,99.76,97.92,14.02,0.92,611.63,266.04,37.71,60.93,976.31
2024-01-11 22:00:00,94.53,82.09,13.1,0.873,590.05,237.06,37.23,54.15,918.49
2024-01-11 23:00:00,108.89,98.85,16.89,1.0,660.44,263.1,42.61,55.33,1021.48
2024-01-12 00:00:00,113.99,97.23,14.63,0.966,692.93,268.61,38.66,66.78,1066.98
2024-01-12 01:00:00,108.0,97.47,15.46,0.896,658.97,263.3,44.01,57.69,1023.97
2024-01-12 02:00:00,114.03,94.83,15.64,0.911,684.16,258.69,36.76,60.35,1039.97
2024-01-12 03:00:00,94.28,92.5,15.7,1.0,592.35,254.26,43.46,62.96,953.03
2024-01-12 04:00:00,90.74,86.85,13.45,0.793,576.42,243.15,35.37,57.9,912.84
2024-01-12 05:00:00,87.53,80.37,12.7,0.791,572.46,240.26,42.46,57.46,912.64
2024-01-12 06:00:00,90.77,85.32,14.33,0.852,574.37,236.36,38.0,51.38,900.11
2024-01-12 07:00:00,81.27,79.44,15.81,0.81,526.41,224.31,43.57,53.92,848.21
2024-01-12 08:00:00,97.15,91.02,14.12,0.835,609.19,259.83,30.24,62.93,962.19
2024-01-12 09:00:00,100.04,84.12,14.68,0.85,612.61,239.32,36.87,57.81,
2024-01-12 10:00:00,103.57,91.64,18.4,0.832,624.07,257.05,44.67,63.34,989.13
2024-01-12 11:00:00,114.84,99.4,12.44,0.999,691.7,262.55,39.19,52.08,1045.52
2024-01-12 12:00:00,115.8,98.06,14.08,0.948,707.56,267.41,33.19,64.06,1072.22
2024-01-12 13:00:00,110.59,100.0,18.06,0.957,682.82,274.86,37.17,59.8,1054.65
2024-01-12 14:00:00,107.78,97.76,15.15,1.0,643.86,261.25,41.53,52.65,999.29
2024-01-12 15:00:00,98.46,89.19,14.15,0.88,617.62,251.07,36.76,65.65,971.1
